x_axis,mean_frobenious_observation,lower_bound_observation,upper_bound_observation,mean_frobenious_transition_0,lower_bound_transition_0,upper_bound_transition_0,mean_frobenious_transition_1,lower_bound_transition_1,upper_bound_transition_1
1,0.6056196016841752,0.718222461383036,0.4930167419853143,0.5833287384591486,0.735509791988892,0.43114768492940514,0.6681319876653953,0.8379429227909956,0.4983210525397949
2,0.2746467833162828,0.314490255319978,0.23480331131258758,0.20520968922752564,0.23808604134728367,0.1723333371077676,0.20831513021234144,0.2452868738693607,0.17134338655532216
3,0.26731322795001794,0.3089981730194245,0.22562828288061137,0.20097225973424787,0.23981148347554185,0.1621330359929539,0.1842824725397973,0.2308360828027245,0.1377288622768701
4,0.19792949415441757,0.2311987135959697,0.16466027471286546,0.13335857636462048,0.16042108208939992,0.10629607063984102,0.11666866669472879,0.13296546762161518,0.1003718657678424
5,0.2012177388426486,0.23396460150155451,0.16847087618374268,0.14460186399548253,0.18747651701914794,0.10172721097181711,0.16502152364019773,0.24891769115667783,0.08112535612371764
6,0.20001907392053414,0.22835018625384748,0.1716879615872208,0.13442764945066601,0.17915496954442897,0.08970032935690306,0.1307208082137084,0.17276347258016247,0.08867814384725434
7,0.15677902748979175,0.17698262453519106,0.13657543044439244,0.08557305804884521,0.10127033147454478,0.06987578462314564,0.10698448909236331,0.11759922550367502,0.09636975268105161
8,0.12917078578895025,0.15089098038729726,0.10745059119060323,0.07334965995385782,0.08733927438541819,0.05936004552229746,0.09525569644088347,0.10626992841977234,0.0842414644619946
9,0.12206128219373377,0.14481800825831892,0.09930455612914862,0.06733456675827193,0.08078894058073674,0.05388019293580712,0.0841433165732755,0.0976519423459488,0.07063469080060221
10,0.11211152706687821,0.13231969233210836,0.09190336180164807,0.0658782685946583,0.07652973887818836,0.05522679831112824,0.07494043483728036,0.08737035963046327,0.06251051004409744
