x_axis,mean_frobenious_observation,lower_bound_observation,upper_bound_observation,mean_frobenious_transition_0,lower_bound_transition_0,upper_bound_transition_0,mean_frobenious_transition_1,lower_bound_transition_1,upper_bound_transition_1,mean_frobenious_transition_2,lower_bound_transition_2,upper_bound_transition_2
1,0.613037514638356,0.6696088362021985,0.5564661930745135,0.6255301606761499,0.7591287826211285,0.49193153873117124,1.0136916938420695,1.2325583201696466,0.7948250675144923,0.6981136071660814,0.8485894903904987,0.5476377239416641
2,0.813543078867478,0.8839788281361356,0.7431073295988204,0.8057138999731288,0.9070820509737273,0.7043457489725303,1.420130187187203,1.4819683563008244,1.3582920180735816,1.3715109544782949,1.4499061668006437,1.293115742155946
3,0.6865221197171506,0.7444896403406857,0.6285545990936156,0.664059521253411,0.7914462701960907,0.5366727723107312,0.9248606697818568,1.052917307287945,0.7968040322757686,1.0642180716532803,1.2009397851399704,0.9274963581665903
4,0.5270617885302016,0.596888657495261,0.4572349195651421,0.41941438923532726,0.4636884528960909,0.3751403255745636,0.8225807168116483,0.9888017089442255,0.6563597246790712,0.8391010771843401,1.1127496518312054,0.5654525025374749
5,0.4192948538239363,0.4973350418157421,0.34125466583213043,0.3452160204867708,0.42046473440615595,0.26996730656738566,0.6966069816139729,0.8543494602182169,0.538864503009729,0.47888967400328203,0.615155038038632,0.34262430996793203
6,0.2948337128713247,0.33027499926722975,0.25939242647541966,0.24744959560675878,0.28110003430835856,0.213799156905159,0.4405847603508419,0.6198155864791703,0.2613539342225134,0.24373567393258783,0.2683508125147008,0.21912053535047488
7,0.21562286021949095,0.24365326371166668,0.18759245672731523,0.13998948617069337,0.15936988770263805,0.1206090846387487,0.176315621251761,0.20362954434011568,0.14900169816340633,0.1586896171676502,0.17062999439155113,0.14674923994374928
8,0.2190761705366059,0.25354597281781566,0.18460636825539617,0.1562256485488954,0.18848812254609235,0.12396317455169845,0.23301867757260863,0.3004065157175041,0.16563083942771317,0.16406484350299577,0.1919628984629413,0.13616678854305025
9,0.20911293588111685,0.2437815145539625,0.1744443572082712,0.1652669374241542,0.2076675068307511,0.12286636801755726,0.23929210097492612,0.34686318132295657,0.13172102062689567,0.17829032207206558,0.21298305846521562,0.14359758567891553
10,0.18474523150893135,0.20512587521848952,0.16436458779937319,0.13734787313104646,0.16211552426980713,0.1125802219922858,0.11865869783698713,0.14095697024552728,0.09636042542844699,0.1326792942071774,0.15509921915427918,0.1102593692600756
