x_axis,mean_frobenious,lower_bound,upper_bound
0,3.910252845408072,4.274593592841898,3.5459120979742456
1,3.35102625707119,4.415630633116015,2.286421881026365
2,3.3260868399584558,3.899552619593907,2.7526210603230044
3,2.9703379432054406,3.3881475605567157,2.5525283258541656
4,3.485251390677378,3.5891537495686365,3.3813490317861192
5,3.7297422675316847,4.71150945299854,2.747975082064829
6,3.5238155624006566,4.190522086086058,2.8571090387152553
7,3.6367877802376656,4.343569564029911,2.9300059964454204
8,3.538742640207513,4.53488494689027,2.542600333524755
9,3.6682284520109514,4.550981349636999,2.785475554384904
10,2.8917104118328845,3.4389173683021,2.344503455363669
11,2.71553846723208,3.4773394822756667,1.9537374521884936
12,2.5517414817174533,3.0989727841257215,2.004510179309185
13,2.718586971223404,3.1002659450065515,2.3369079974402567
14,2.4890123400685438,2.769191656238019,2.2088330238990683
15,3.3921351074575092,3.54485353506231,3.2394166798527086
16,3.2275659061428654,3.5528387748513595,2.9022930374343714
17,2.5992139181188483,3.225186928287147,1.9732409079505495
18,3.0266067349758923,3.916674360913586,2.1365391090381984
19,2.6768320506594216,3.543612448438533,1.8100516528803106
20,2.17902828952879,2.6563193889510375,1.7017371901065428
21,2.5701561400208712,3.0799386168081675,2.060373663233575
22,2.929260364569558,3.732634982147,2.1258857469921155
23,2.2593268012366763,2.81967322564445,1.6989803768289025
24,2.430991994910225,3.160098140328733,1.7018858494917166
25,2.1407423158430183,2.6945665321644707,1.586918099521566
26,2.3612531708657776,2.910360337036346,1.8121460046952094
27,2.838826939947898,3.494269293859597,2.1833845860361984
28,2.5358071018367876,3.1051113363522562,1.9665028673213192
29,2.4439927258402614,2.879892894103055,2.0080925575774677
